date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:33:08	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Sep%202021%2013:28:03%20GMT	http://ufmframe.link/robots.txt		(from )
20:33:09	7714/7714	---M-Z	200	added ('OK')	text/html	etag:%221e22-5cb2ab72df61f-gzip%22	http://ufmframe.link/?fbclid=IwAR2xLT7q-zxL8Z66joPz-VeQnT1cE3YC3zDsfs2n1LKm8m7qbo1U8-VWfSo	D:/FontEnd/UFM/ufm/ufmframe.link/index3254.html	(from )
20:33:09	1267/1267	---M--	200	added ('OK')	application/javascript	etag:%224f3-5cb2aaaeca1e6%22	http://ufmframe.link/Scripts/jquery.uploadPreview.min.js	D:/FontEnd/UFM/ufm/ufmframe.link/Scripts/jquery.uploadPreview.min.js	(from http://ufmframe.link/?fbclid=IwAR2xLT7q-zxL8Z66joPz-VeQnT1cE3YC3zDsfs2n1LKm8m7qbo1U8-VWfSo)
20:33:11	23761/23761	---M--	200	added ('OK')	text/css	etag:%225cd1-5cb2aaaac58de%22	http://ufmframe.link/public/css/font-awesome.min.css	D:/FontEnd/UFM/ufm/ufmframe.link/public/css/font-awesome.min.css	(from http://ufmframe.link/?fbclid=IwAR2xLT7q-zxL8Z66joPz-VeQnT1cE3YC3zDsfs2n1LKm8m7qbo1U8-VWfSo)
20:33:11	147647/147647	---M--	200	added ('OK')	text/css	etag:%22240bf-5cb2aaaae02a6%22	http://ufmframe.link/public/css/bootstrap.min.css	D:/FontEnd/UFM/ufm/ufmframe.link/public/css/bootstrap.min.css	(from http://ufmframe.link/?fbclid=IwAR2xLT7q-zxL8Z66joPz-VeQnT1cE3YC3zDsfs2n1LKm8m7qbo1U8-VWfSo)
20:33:13	14915/14915	---M--	200	added ('OK')	text/css	etag:%223a43-5cb2aaab53e36%22	http://ufmframe.link/public/frontend/css/style6d92.css?1497267268	D:/FontEnd/UFM/ufm/ufmframe.link/public/frontend/css/style6d926d92.css	(from http://ufmframe.link/?fbclid=IwAR2xLT7q-zxL8Z66joPz-VeQnT1cE3YC3zDsfs2n1LKm8m7qbo1U8-VWfSo)
20:33:13	1729/1729	---M--	200	added ('OK')	text/css	etag:%226c1-5cb2aaaaf0476%22	http://ufmframe.link/public/css/slick-1.6.0.css	D:/FontEnd/UFM/ufm/ufmframe.link/public/css/slick-1.6.0.css	(from http://ufmframe.link/?fbclid=IwAR2xLT7q-zxL8Z66joPz-VeQnT1cE3YC3zDsfs2n1LKm8m7qbo1U8-VWfSo)
20:33:13	3801/3801	---M--	200	added ('OK')	text/css	etag:%22ed9-5cb2aaab64006%22	http://ufmframe.link/public/frontend/css/frame6d92.css?1497267268	D:/FontEnd/UFM/ufm/ufmframe.link/public/frontend/css/frame6d926d92.css	(from http://ufmframe.link/?fbclid=IwAR2xLT7q-zxL8Z66joPz-VeQnT1cE3YC3zDsfs2n1LKm8m7qbo1U8-VWfSo)
20:33:21	83612/83612	---M--	200	added ('OK')	application/javascript	etag:%221469c-5cb2aaae9f266%22	http://ufmframe.link/Scripts/jquery-2.0.3.min.js	D:/FontEnd/UFM/ufm/ufmframe.link/Scripts/jquery-2.0.3.min.js	(from http://ufmframe.link/?fbclid=IwAR2xLT7q-zxL8Z66joPz-VeQnT1cE3YC3zDsfs2n1LKm8m7qbo1U8-VWfSo)
20:33:22	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Sep%202021%2013:28:17%20GMT	http://ufmframe.link/connect.facebook.net/vi_VN/all.js	D:/FontEnd/UFM/ufm/ufmframe.link/connect.facebook.net/vi_VN/all.a.delayed	(from http://ufmframe.link/?fbclid=IwAR2xLT7q-zxL8Z66joPz-VeQnT1cE3YC3zDsfs2n1LKm8m7qbo1U8-VWfSo)
20:33:22	315/315	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2012%20Sep%202021%2013:28:17%20GMT	http://ufmframe.link/www.google-analytics.com/analytics.js	D:/FontEnd/UFM/ufm/ufmframe.link/www.google-analytics.com/analytics.js	(from http://ufmframe.link/?fbclid=IwAR2xLT7q-zxL8Z66joPz-VeQnT1cE3YC3zDsfs2n1LKm8m7qbo1U8-VWfSo)
20:33:28	35452/35452	---M--	200	added ('OK')	application/javascript	etag:%228a7c-5cb2aaac4f5a6%22	http://ufmframe.link/public/js/bootstrap.min.js	D:/FontEnd/UFM/ufm/ufmframe.link/public/js/bootstrap.min.js	(from http://ufmframe.link/?fbclid=IwAR2xLT7q-zxL8Z66joPz-VeQnT1cE3YC3zDsfs2n1LKm8m7qbo1U8-VWfSo)
20:33:28	93106/93106	---M--	200	added ('OK')	application/javascript	etag:%2216bb2-5cb2aaac7dfbe%22	http://ufmframe.link/public/js/jquery-1.10.2.min.js	D:/FontEnd/UFM/ufm/ufmframe.link/public/js/jquery-1.10.2.min.js	(from http://ufmframe.link/?fbclid=IwAR2xLT7q-zxL8Z66joPz-VeQnT1cE3YC3zDsfs2n1LKm8m7qbo1U8-VWfSo)
20:33:29	587/587	---M--	200	added ('OK')	application/javascript	etag:%2224b-5cb2aaabafaf6%22	http://ufmframe.link/public/frontend/js/custom6d92.js?1497267268	D:/FontEnd/UFM/ufm/ufmframe.link/public/frontend/js/custom6d926d92.js	(from http://ufmframe.link/?fbclid=IwAR2xLT7q-zxL8Z66joPz-VeQnT1cE3YC3zDsfs2n1LKm8m7qbo1U8-VWfSo)
20:33:29	9530/9530	---M--	200	added ('OK')	application/javascript	etag:%22253a-5cb2aaac60716%22	http://ufmframe.link/public/js/jquery.blockui.min.js	D:/FontEnd/UFM/ufm/ufmframe.link/public/js/jquery.blockui.min.js	(from http://ufmframe.link/?fbclid=IwAR2xLT7q-zxL8Z66joPz-VeQnT1cE3YC3zDsfs2n1LKm8m7qbo1U8-VWfSo)
20:33:32	127133/127133	---M--	200	added ('OK')	application/javascript	etag:%221f09d-5cb2aaae819be%22	http://ufmframe.link/Scripts/html2canvas.js	D:/FontEnd/UFM/ufm/ufmframe.link/Scripts/html2canvas.js	(from http://ufmframe.link/?fbclid=IwAR2xLT7q-zxL8Z66joPz-VeQnT1cE3YC3zDsfs2n1LKm8m7qbo1U8-VWfSo)
20:33:36	41953/41953	---M--	200	added ('OK')	application/javascript	etag:%22a3e1-5cb2aaac952d6%22	http://ufmframe.link/public/js/slick-1.6.0.min.js	D:/FontEnd/UFM/ufm/ufmframe.link/public/js/slick-1.6.0.min.js	(from http://ufmframe.link/?fbclid=IwAR2xLT7q-zxL8Z66joPz-VeQnT1cE3YC3zDsfs2n1LKm8m7qbo1U8-VWfSo)
